Country,Date,Deaths,Confirmed,Recovered
China,01-22-2020,17,547,28
HongKong,01-22-2020,0,0,0
Macau,01-22-2020,0,1,0
Taiwan,01-22-2020,0,1,0
US,01-22-2020,0,1,0
Japan,01-22-2020,0,2,0
Thailand,01-22-2020,0,2,0
SouthKorea,01-22-2020,0,1,0
China,01-23-2020,18,639,30
HongKong,01-23-2020,0,2,0
Macau,01-23-2020,0,2,0
Taiwan,01-23-2020,0,1,0
US,01-23-2020,0,1,0
Japan,01-23-2020,0,1,0
Thailand,01-23-2020,0,3,0
SouthKorea,01-23-2020,0,1,0
Singapore,01-23-2020,0,1,0
Philippines,01-23-2020,0,0,0
Malaysia,01-23-2020,0,0,0
Vietnam,01-23-2020,0,2,0
Australia,01-23-2020,0,0,0
Mexico,01-23-2020,0,0,0
Brazil,01-23-2020,0,0,0
Colombia,01-23-2020,0,0,0
China,01-24-2020,26,916,36
Taiwan,01-24-2020,0,3,0
HongKong,01-24-2020,0,2,0
Macau,01-24-2020,0,2,0
US,01-24-2020,0,2,0
Japan,01-24-2020,0,2,0
Thailand,01-24-2020,0,5,0
SouthKorea,01-24-2020,0,2,0
Singapore,01-24-2020,0,3,0
Vietnam,01-24-2020,0,2,0
France,01-24-2020,0,2,0
China,01-25-2020,42,1399,39
HongKong,01-25-2020,0,5,0
Taiwan,01-25-2020,0,3,0
Macau,01-25-2020,0,2,0
US,01-25-2020,0,2,0
Japan,01-25-2020,0,2,0
Thailand,01-25-2020,0,7,0
SouthKorea,01-25-2020,0,2,0
Singapore,01-25-2020,0,3,0
Vietnam,01-25-2020,0,2,0
France,01-25-2020,0,3,0
Australia,01-25-2020,0,4,0
Nepal,01-25-2020,0,1,0
Malaysia,01-25-2020,0,3,0
China,01-26-2020,56,2062,49
HongKong,01-26-2020,0,8,0
Macau,01-26-2020,0,5,0
Taiwan,01-26-2020,0,4,0
US,01-26-2020,0,5,0
Japan,01-26-2020,0,4,1
Thailand,01-26-2020,0,8,2
SouthKorea,01-26-2020,0,3,0
Singapore,01-26-2020,0,4,0
Vietnam,01-26-2020,0,2,0
France,01-26-2020,0,3,0
Australia,01-26-2020,0,4,0
Nepal,01-26-2020,0,1,0
Malaysia,01-26-2020,0,4,0
Canada,01-26-2020,0,1,0
China,01-27-2020,82,2863,58
HongKong,01-27-2020,0,8,0
Macau,01-27-2020,0,6,0
Taiwan,01-27-2020,0,5,0
US,01-27-2020,0,5,0
Japan,01-27-2020,0,4,1
Thailand,01-27-2020,0,8,2
SouthKorea,01-27-2020,0,4,0
Singapore,01-27-2020,0,5,0
Vietnam,01-27-2020,0,2,0
France,01-27-2020,0,3,0
Nepal,01-27-2020,0,1,0
Malaysia,01-27-2020,0,4,0
Canada,01-27-2020,0,1,0
Cambodia,01-27-2020,0,1,0
SriLanka,01-27-2020,0,1,0
IvoryCoast,01-27-2020,0,1,0
Australia,01-27-2020,0,5,0
China,01-28-2020,131,5494,101
Taiwan,01-28-2020,0,8,0
HongKong,01-28-2020,0,8,0
Macau,01-28-2020,0,7,0
US,01-28-2020,0,5,0
Japan,01-28-2020,0,7,1
Thailand,01-28-2020,0,14,5
SouthKorea,01-28-2020,0,4,0
Singapore,01-28-2020,0,7,0
Vietnam,01-28-2020,0,2,0
France,01-28-2020,0,4,0
Nepal,01-28-2020,0,1,0
Malaysia,01-28-2020,0,4,0
Canada,01-28-2020,0,2,0
Cambodia,01-28-2020,0,1,0
SriLanka,01-28-2020,0,1,0
Australia,01-28-2020,0,5,0
Germany,01-28-2020,0,4,0
China,01-29-2020,133,6070,120
HongKong,01-29-2020,0,10,0
Taiwan,01-29-2020,0,8,0
Macau,01-29-2020,0,7,0
US,01-29-2020,0,5,0
